Nombres,Id,Géneros,Fecha en la que se añadió,Estación,Género General
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'singer-songwriter pop', 'uk pop']",2017-01-06 20:34:08+00:00,Invierno,Pop
James Blunt,7KMqksf0UMdyA0UCf4R3ux,['neo mellow'],2017-01-06 20:34:35+00:00,Invierno,Rock & Indie
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'singer-songwriter pop', 'uk pop']",2017-01-06 20:35:57+00:00,Invierno,Pop
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",2017-01-06 21:13:00+00:00,Invierno,Pop
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"['dance pop', 'pop']",2017-01-06 21:13:00+00:00,Invierno,Pop
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']",2017-01-06 21:13:19+00:00,Invierno,Pop
Major Lazer,738wLrAtLtCtFOLvQBXOXp,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",2017-01-06 21:13:19+00:00,Invierno,Pop
MØ,0bdfiayQAKewqEvaU6rXCv,"['dance pop', 'danish pop', 'electropop', 'pop dance']",2017-01-06 21:13:19+00:00,Invierno,Pop
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"['hip pop', 'pop', 'queens hip hop', 'rap']",2017-01-06 21:13:34+00:00,Invierno,Pop
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,['pop'],2017-01-06 21:13:34+00:00,Invierno,Pop
Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,"['modern rock', 'pop', 'pov: indie', 'rock']",2017-01-06 21:13:45+00:00,Invierno,Pop
Capital Cities,4gwpcMTbLWtBUlOijbVpuu,"['metropopolis', 'modern rock']",2017-01-06 21:14:51+00:00,Invierno,Rock & Indie
Miike Snow,4l1cKWYW591xnwEGxpUg3J,"['alternative dance', 'electropop', 'indietronica', 'neo-synthpop', 'shimmer pop', 'swedish electropop', 'swedish indie pop', 'swedish synthpop']",2017-01-06 21:15:30+00:00,Invierno,EDM & Disco
Owl City,07QEuhtrNmmZ0zEcqE9SF6,"['indietronica', 'pop']",2017-01-06 21:15:53+00:00,Invierno,Pop
Fleur East,37mtx80nMDETlbsq2eFCzc,"['talent show', 'uk pop']",2017-01-06 21:48:21+00:00,Invierno,Pop
Jain,2HHmvvSQ44ePDH7IKVzgK0,['french pop'],2017-01-06 21:48:38+00:00,Invierno,Pop
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,"['pop', 'viral pop']",2017-01-06 21:49:00+00:00,Invierno,Pop
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,"['hip pop', 'pop']",2017-01-06 21:49:00+00:00,Invierno,Pop
Santaflow,3uvTa6pDzj0T6EfMslXOCs,['latin viral pop'],2017-01-06 22:52:45+00:00,Invierno,Pop
Shé,5GdP5J5VnVvhY0HzsYMcUK,"['rap romantico', 'spanish hip hop']",2017-01-06 23:01:36+00:00,Invierno,Hip hop
Santaflow,3uvTa6pDzj0T6EfMslXOCs,['latin viral pop'],2017-01-06 23:01:36+00:00,Invierno,Pop
Arnau Griso,5gnF05YcUt010aB7EWk96U,['spanish rock'],2017-01-06 23:05:31+00:00,Invierno,Rock & Indie
Costa,7rAjVJgwZhvmMIt5vfyNGn,"['rap underground espanol', 'spanish hip hop', 'urbano espanol']",2017-01-06 23:06:33+00:00,Invierno,Reggateon
Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,"['danish pop', 'scandipop']",2017-01-07 10:43:28+00:00,Invierno,Pop
Olly Murs,3whuHq0yGx60atvA2RCVRW,"['dance pop', 'pop', 'talent show', 'uk pop']",2017-01-07 10:44:01+00:00,Invierno,Pop
Flo Rida,0jnsk9HBra6NMjO2oANoPY,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",2017-01-07 10:44:01+00:00,Invierno,Pop
Sean Kingston,6S0dmVVn4udvppDhZIWxCr,"['dance pop', 'miami hip hop', 'pop']",2017-01-07 10:44:42+00:00,Invierno,Pop
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",2017-01-07 13:39:22+00:00,Invierno,Pop
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",2017-01-07 13:39:36+00:00,Invierno,Pop
Avicii,1vCWHaC5f2uS3yhpwWbIA6,"['dance pop', 'edm', 'pop', 'pop dance']",2017-01-08 21:26:18+00:00,Invierno,Pop
DVBBS,5X4LWwbUFNzPkEas04uU82,"['canadian electronic', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",2017-01-08 21:26:21+00:00,Invierno,EDM & Disco
Borgeous,4uiMn2g0pgTrhN096QJhbp,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",2017-01-08 21:26:21+00:00,Invierno,EDM & Disco
Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,"['belgian edm', 'edm', 'pop dance', 'tropical house']",2017-01-08 21:26:40+00:00,Invierno,EDM & Disco
Janieck Devy,5gtYjyZlmPOc1lLHvYzCON,['NA'],2017-01-08 21:26:40+00:00,Invierno,Otros
Efecto Pasillo,6CSa1r92LtHHdLG6kRabU3,"['latin arena pop', 'musica canaria', 'rock en espanol', 'spanish pop']",2017-01-08 21:26:56+00:00,Invierno,Pop
Milky Chance,1hzfo8twXdOegF3xireCYs,"['german pop', 'modern rock']",2017-01-08 21:28:06+00:00,Invierno,Rock & Indie
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,"['piano rock', 'pop']",2017-01-08 21:28:18+00:00,Invierno,Pop
fun.,5nCi3BB41mBaMH9gfr6Su0,"['baroque pop', 'metropopolis', 'neo mellow']",2017-01-08 21:28:44+00:00,Invierno,Rock & Indie
Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,"['afrofuturism', 'alternative r&b', 'atl hip hop', 'neo soul', 'r&b']",2017-01-08 21:28:44+00:00,Invierno,"Jazz, Soul & Blues"
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,"['piano rock', 'pop']",2017-01-08 21:28:49+00:00,Invierno,Pop
Lorde,163tK9Wjr9P9DmM0AVK7lm,"['art pop', 'metropopolis', 'nz pop', 'pop']",2017-01-08 21:28:53+00:00,Invierno,Pop
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']",2017-01-08 21:28:57+00:00,Invierno,Pop
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,"['boy band', 'pop']",2017-01-08 21:29:05+00:00,Invierno,Pop
Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop'],2017-01-08 21:29:25+00:00,Invierno,Pop
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,['pop'],2017-01-08 21:29:37+00:00,Invierno,Pop
Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop'],2017-01-08 21:29:41+00:00,Invierno,Pop
Plain White T's,1g1yxsNVPhMUl9GrMjEb2o,"['modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock']",2017-01-08 21:29:46+00:00,Invierno,Rock & Indie
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,"['boy band', 'pop']",2017-01-08 21:29:57+00:00,Invierno,Pop
Katy Perry,6jJ0s89eD6GaHleKKya26X,['pop'],2017-01-08 21:30:08+00:00,Invierno,Pop
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,"['boy band', 'pop']",2017-01-08 21:30:16+00:00,Invierno,Pop
Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,"['dance pop', 'pop']",2017-01-08 21:30:28+00:00,Invierno,Pop
The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,"['alternative metal', 'modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge']",2017-01-08 21:30:56+00:00,Invierno,Rock & Indie
The Vamps,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'pop']",2017-01-08 21:31:03+00:00,Invierno,Pop
Demi Lovato,6S2OmqARrzebs0tKUEyXyp,"['pop', 'post-teen pop']",2017-01-08 21:31:03+00:00,Invierno,Pop
Halsey,26VFTg2z8YR0cCuwLzESi2,"['electropop', 'etherpop', 'indie poptimism', 'pop']",2017-01-08 21:31:43+00:00,Invierno,Pop
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,"['canadian contemporary r&b', 'canadian pop', 'pop']",2017-01-08 21:32:35+00:00,Invierno,Pop
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,"['indietronica', 'metropopolis', 'pop', 'uk pop']",2017-01-08 21:33:05+00:00,Invierno,Pop
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",2017-01-08 21:33:14+00:00,Invierno,Pop
X Ambassadors,3NPpFNZtSTHheNBaWC82rB,"['modern alternative rock', 'modern rock', 'stomp pop']",2017-01-08 21:33:36+00:00,Invierno,Rock & Indie
Jasmine Thompson,2TL8gYTNgD6nXkyuUdDrMg,['viral pop'],2017-01-08 21:33:49+00:00,Invierno,Otros
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,"['art pop', 'pop']",2017-01-08 21:33:53+00:00,Invierno,Pop
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,"['art pop', 'pop']",2017-01-08 21:35:52+00:00,Invierno,Pop
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']",2017-01-08 21:36:48+00:00,Invierno,Pop
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']",2017-01-08 21:37:03+00:00,Invierno,Pop
Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,"['edm', 'german dance', 'pop dance', 'tropical house', 'uk dance']",2017-01-08 21:38:46+00:00,Invierno,EDM & Disco
Jasmine Thompson,2TL8gYTNgD6nXkyuUdDrMg,['viral pop'],2017-01-08 21:38:46+00:00,Invierno,Otros
David Bisbal,5gOJTI4TusSENizxhcG7jB,"['latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']",2017-01-09 10:48:25+00:00,Invierno,Pop
Dani Martín,3AIPhNgeF9S1Kyg9Yy3UQW,"['spanish pop', 'spanish pop rock']",2017-01-09 10:48:40+00:00,Invierno,Pop
Coti,1OUDQLymoysITxprkd0Qvj,"['spanish pop', 'spanish pop rock']",2017-01-09 10:48:40+00:00,Invierno,Pop
Jack & Jack,1INuLZXjjVbcJRyWvD1iSq,"['pop', 'teen pop']",2017-01-09 10:50:10+00:00,Invierno,Pop
Fito y Fitipaldis,1tZ99AnqyjgrmPwLfGU5eo,"['latin rock', 'spanish pop', 'spanish rock']",2017-01-09 13:21:56+00:00,Invierno,Pop
Alvaro Soler,2urF8dgLVfDjunO0pcHUEe,['latin pop'],2017-01-09 21:27:49+00:00,Invierno,Pop
Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,"['dance pop', 'pop', 'urban contemporary']",2017-01-09 21:27:49+00:00,Invierno,Pop
Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,"['latin pop', 'puerto rican pop']",2017-01-09 21:28:05+00:00,Invierno,Pop
Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,"['latin arena pop', 'latin pop', 'mexican pop']",2017-01-09 21:28:13+00:00,Invierno,Pop
Taburete,40Ippe6JeofRURQ4nbF8DT,"['spanish pop', 'spanish rock']",2017-01-09 21:28:45+00:00,Invierno,Pop
Beyoncé,6vWDO969PvNqNYHIOW5v0m,"['pop', 'r&b']",2017-01-20 18:49:38+00:00,Invierno,Pop
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",2017-01-20 18:49:38+00:00,Invierno,Hip hop
Shakira,0EmeFodog0BfCgMzAIvKQp,"['colombian pop', 'dance pop', 'latin pop', 'pop']",2017-01-20 18:49:46+00:00,Invierno,Pop
Wyclef Jean,7aBzpmFXB4WWpPl2F7RjBe,['rap kreyol'],2017-01-20 18:49:46+00:00,Invierno,Otros
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']",2017-01-20 18:49:57+00:00,Invierno,Hip hop
Jamie Foxx,7LnaAXbDVIL75IVPnndf7w,"['contemporary r&b', 'hip pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",2017-01-20 18:49:57+00:00,Invierno,Hip hop
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,"['dance pop', 'pop', 'pop rap']",2017-01-20 18:50:02+00:00,Invierno,Pop
Kesha,6LqNN22kT3074XbTVUrhzX,"['dance pop', 'pop']",2017-01-20 18:50:47+00:00,Invierno,Pop
MIKA,5MmVJVhhYKQ86izuGHzJYA,['electropop'],2017-01-20 18:51:38+00:00,Invierno,EDM & Disco
Train,3FUY2gzHeIiaesXtOAdB7A,"['dance pop', 'neo mellow', 'pop', 'pop rock']",2017-01-20 18:51:48+00:00,Invierno,Pop
Maná,7okwEbXzyT2VffBmyQBWLz,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",2017-01-20 19:40:15+00:00,Invierno,Pop
Beyoncé,6vWDO969PvNqNYHIOW5v0m,"['pop', 'r&b']",2017-01-20 19:43:43+00:00,Invierno,Pop
Salt-N-Pepa,7wqtxqI3eo7Gn1P7SpP6cQ,"['girl group', 'golden age hip hop', 'hip hop', 'hip pop', 'old school hip hop', 'queens hip hop']",2017-01-20 19:44:52+00:00,Invierno,Hip hop
Taburete,40Ippe6JeofRURQ4nbF8DT,"['spanish pop', 'spanish rock']",2017-03-05 17:07:07+00:00,Primavera,Pop
Kris Kross Amsterdam,4LcUpNlXFEleaLlelmkv2R,"['dutch house', 'dutch pop']",2017-03-05 17:07:58+00:00,Primavera,EDM & Disco
Conor Maynard,6mU8ucezzms5I2kNH6HNlu,"['post-teen pop', 'talent show', 'uk pop', 'viral pop']",2017-03-05 17:07:58+00:00,Primavera,Pop
Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",2017-03-05 17:07:58+00:00,Primavera,Hip hop
Dani Martín,3AIPhNgeF9S1Kyg9Yy3UQW,"['spanish pop', 'spanish pop rock']",2017-03-31 16:21:06+00:00,Primavera,Pop
MAGIC!,0DxeaLnv6SyYk2DOqkLO8c,"['pop', 'reggae fusion']",2017-04-08 17:03:12+00:00,Primavera,Pop
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2017-04-08 17:04:51+00:00,Primavera,Reggateon
Paramba,2JJeLxFOub3q1h6GTKOOBi,['dembow'],2017-04-08 17:04:51+00:00,Primavera,Otros
"Secreto ""El Famoso Biberon""",37UACiDcdzEYii0iU0QpAf,"['dembow', 'rap dominicano']",2017-04-08 17:06:46+00:00,Primavera,Otros
Nikone,105iYV1T7lf8Rysxo0KzfD,"['spanish hip hop', 'urbano espanol']",2017-04-09 13:06:24+00:00,Primavera,Reggateon
Brock Ansiolitiko,6OvSTrmGE7sLhy0vnmfcpU,['spanish hip hop'],2017-04-09 13:06:49+00:00,Primavera,Hip hop
N.O.E Dlux,4U1BRuzSig0Guilh84Hk1V,['NA'],2017-04-09 13:06:49+00:00,Primavera,Otros
Arce,7eH1UUCyxL8Wf9PztvvPJ6,"['spanish hip hop', 'urbano espanol']",2017-04-09 13:07:20+00:00,Primavera,Reggateon
Kinky Bwoy,0MdmBtTM7CiggP607Mh1Fs,['flamenco urbano'],2017-04-09 13:07:20+00:00,Primavera,Otros
Calle 13,0yNSzH5nZmHzeE2xn6Xshb,"['latin afrobeat', 'latin alternative', 'latin hip hop', 'latin rock', 'puerto rican rock', 'rap conciencia', 'reggaeton', 'rock en espanol']",2017-04-09 13:32:40+00:00,Primavera,Pop
Orishas,2gKYxTUOqw9aPt7ljMwSHT,"['conscious hip hop', 'cuban alternative', 'hip hop cubano', 'latin alternative', 'latin hip hop']",2017-04-09 13:33:36+00:00,Primavera,Pop
Maná,7okwEbXzyT2VffBmyQBWLz,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",2017-04-09 13:36:51+00:00,Primavera,Pop
Shakira,0EmeFodog0BfCgMzAIvKQp,"['colombian pop', 'dance pop', 'latin pop', 'pop']",2017-04-09 13:36:51+00:00,Primavera,Pop
Maná,7okwEbXzyT2VffBmyQBWLz,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",2017-04-09 13:37:50+00:00,Primavera,Pop
Maná,7okwEbXzyT2VffBmyQBWLz,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",2017-04-09 13:38:12+00:00,Primavera,Pop
Maná,7okwEbXzyT2VffBmyQBWLz,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",2017-04-09 13:38:29+00:00,Primavera,Pop
Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']",2017-04-09 17:27:49+00:00,Primavera,EDM & Disco
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",2017-04-09 17:27:49+00:00,Primavera,Pop
Cheat Codes,7DMveApC7UnC2NPfPvlHSU,"['edm', 'pop', 'pop dance']",2017-04-09 17:27:49+00:00,Primavera,Pop
Steve Aoki,77AiFEVeAVj2ORpC85QVJs,"['edm', 'electro house', 'pop dance']",2017-04-09 17:32:35+00:00,Primavera,EDM & Disco
Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,['pop'],2017-04-09 17:32:35+00:00,Primavera,Pop
Charly Rodriguez,53J2Yngf95YsknNpyUqbnL,['electro latino'],2017-04-09 17:39:15+00:00,Primavera,Otros
Carlitos Rossy,0FDJB5xf8i09jDjIg1qNED,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",2017-04-09 17:39:54+00:00,Primavera,Reggateon
Burak Yeter,4ON1ruy5ijE7ZPQthbrkgI,['electro house'],2017-04-10 08:56:58+00:00,Primavera,EDM & Disco
Danelle Sandoval,7Dz9goFmVZZqvJxZoKg7pF,['nyc pop'],2017-04-10 08:56:58+00:00,Primavera,Otros
Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,"['dance pop', 'edm', 'house', 'pop dance', 'uk dance']",2017-04-10 08:58:03+00:00,Primavera,Pop
RAYE,5KKpBU5eC2tJDzf0wmlRp2,"['uk contemporary r&b', 'uk pop']",2017-04-10 08:58:03+00:00,Primavera,Pop
KALEO,7jdFEYD2LTYjfwxOdlVjmc,"['icelandic indie', 'icelandic rock', 'modern alternative rock']",2017-04-10 08:59:04+00:00,Primavera,Otros
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",2017-04-10 08:59:59+00:00,Primavera,Pop
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"['dance pop', 'pop', 'uk pop']",2017-04-10 08:59:59+00:00,Primavera,Pop
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']",2017-04-10 09:00:30+00:00,Primavera,Pop
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']",2017-04-10 09:01:17+00:00,Primavera,Pop
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",2017-04-10 09:03:24+00:00,Primavera,Pop
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,"['electro', 'filter house', 'rock']",2017-04-10 09:03:24+00:00,Primavera,Rock & Indie
NEIKED,5H6xmHXjsq98NLbEjuE29f,['scandipop'],2017-04-10 09:04:34+00:00,Primavera,Pop
Dyo,4H1PNuHElBLVok0lnYMrRb,['alte'],2017-04-10 09:04:34+00:00,Primavera,Otros
Deb’s Daughter,0lM8pgLaP7dAfY5E4jLNuj,['NA'],2017-04-10 09:05:34+00:00,Primavera,Otros
Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,"['belgian dance', 'belgian edm', 'big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",2017-04-10 09:05:34+00:00,Primavera,EDM & Disco
Diplo,5fMUXHkw8R8eOP2RNVYEZX,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",2017-04-10 09:05:34+00:00,Primavera,Pop
Calle 13,0yNSzH5nZmHzeE2xn6Xshb,"['latin afrobeat', 'latin alternative', 'latin hip hop', 'latin rock', 'puerto rican rock', 'rap conciencia', 'reggaeton', 'rock en espanol']",2019-12-03 18:16:01+00:00,Invierno,Pop
Latin Soul Syndicate,7hxIk7Xc5inSXA4uXHUSps,['NA'],2019-12-03 18:16:21+00:00,Invierno,Otros
Liam Payne,5pUo3fmmHT8bhCyHE52hA6,['pop'],2019-12-03 18:17:58+00:00,Invierno,Pop
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2019-12-03 18:17:58+00:00,Invierno,Reggateon
Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,"['bachata', 'latin hip hop', 'latin pop', 'trap latino', 'urbano latino']",2019-12-03 18:19:21+00:00,Invierno,Pop
IAmChino,0b2GL7Y02vu50qieoQmw1w,"['cubaton', 'reggaeton']",2019-12-03 18:19:35+00:00,Invierno,Reggateon
Pitbull,0TnOYISbd1XYRBk9myaseg,"['dance pop', 'miami hip hop', 'pop']",2019-12-03 18:19:35+00:00,Invierno,Pop
Yandel,0eHQ9o50hj6ZDNBt6Ys1sD,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2019-12-03 18:19:35+00:00,Invierno,Reggateon
El Chacal,1xFn1xod58AGaSZjrxdiXA,"['cubaton', 'reparto']",2019-12-03 18:19:35+00:00,Invierno,Reggateon
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",2019-12-03 18:23:01+00:00,Invierno,Hip hop
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'pop', 'urban contemporary']",2019-12-03 18:23:01+00:00,Invierno,Pop
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,"['kentucky hip hop', 'r&b', 'rap']",2019-12-03 18:23:01+00:00,Invierno,Hip hop
Fuego,7wU2WGCJ8HxkekHHE2QLul,"['electro latino', 'rap dominicano', 'trap latino']",2019-12-03 18:23:32+00:00,Invierno,Reggateon
Nicky Jam,1SupJlEpv7RS2tPNRaHViT,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2019-12-03 18:23:32+00:00,Invierno,Reggateon
Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,"['pop venezolano', 'reggaeton', 'trap latino', 'urbano latino']",2019-12-28 13:24:49+00:00,Invierno,Reggateon
Calle 13,0yNSzH5nZmHzeE2xn6Xshb,"['latin afrobeat', 'latin alternative', 'latin hip hop', 'latin rock', 'puerto rican rock', 'rap conciencia', 'reggaeton', 'rock en espanol']",2019-12-28 13:24:49+00:00,Invierno,Pop
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2019-12-28 13:24:51+00:00,Invierno,Reggateon
NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']",2019-12-28 13:24:51+00:00,Invierno,Pop
Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,"['latin pop', 'modern salsa', 'salsa', 'tropical']",2019-12-28 13:24:51+00:00,Invierno,Pop
Gente De Zona,2cy1zPcrFcXAJTP0APWewL,"['cubaton', 'electro latino', 'latin hip hop', 'latin pop', 'reparto']",2019-12-28 13:24:51+00:00,Invierno,Pop
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino', 'urbano latino']",2019-12-28 13:24:52+00:00,Invierno,Reggateon
Tainy,0GM7qgcRCORpGnfcN2tCiB,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",2019-12-28 13:24:52+00:00,Invierno,Reggateon
ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,"['pop', 'r&b en espanol']",2019-12-28 13:24:53+00:00,Invierno,Pop
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2019-12-28 13:24:53+00:00,Invierno,Reggateon
El Guincho,1oMiDFyAgmIzw9ZBQYHOJI,"['deep latin alternative', 'musica canaria']",2019-12-28 13:24:53+00:00,Invierno,Otros
CNCO,0eecdvMrqBftK0M1VKhaF4,"['boy band', 'latin pop', 'reggaeton', 'urbano latino']",2019-12-28 13:24:54+00:00,Invierno,Pop
Noriel,3RtNN1VnooWEn3KQk03DUL,"['reggaeton', 'trap latino', 'urbano latino']",2019-12-28 13:24:56+00:00,Invierno,Reggateon
Leslie Grace,6BeO1KuAWBqFriL1mLHtNc,"['bachata', 'latin viral pop']",2019-12-28 13:24:56+00:00,Invierno,Pop
Snow,3uZFBSsMiooimnprFL9jD1,"['canadian old school hip hop', 'reggae fusion']",2019-12-28 13:24:56+00:00,Invierno,Reggae
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2019-12-28 13:24:56+00:00,Invierno,Reggateon
Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,"['pop venezolano', 'reggaeton', 'trap latino', 'urbano latino']",2019-12-28 13:24:57+00:00,Invierno,Reggateon
Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2019-12-28 13:24:58+00:00,Invierno,Pop
Piso 21,4bw2Am3p9ji3mYsXNXtQcd,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2019-12-28 13:24:58+00:00,Invierno,Pop
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2019-12-28 13:25:00+00:00,Invierno,Reggateon
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",2019-12-28 13:25:01+00:00,Invierno,Pop
Carlos Vives,4vhNDa5ycK0ST968ek7kRr,"['colombian pop', 'latin pop', 'vallenato']",2019-12-28 13:25:01+00:00,Invierno,Pop
Becky G,4obzFoKoKRHIphyHzJ35G3,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",2019-12-28 13:25:02+00:00,Invierno,Pop
NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']",2019-12-28 13:25:02+00:00,Invierno,Pop
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2019-12-28 13:25:03+00:00,Invierno,Reggateon
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2019-12-28 13:25:05+00:00,Invierno,Reggateon
