Nombres,Id,Géneros,Fecha en la que se añadió,Estación,Género General
Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,"['dance pop', 'pop', 'urban contemporary']",2021-04-03 09:38:09+00:00,Primavera,Pop
Pitbull,0TnOYISbd1XYRBk9myaseg,"['dance pop', 'miami hip hop', 'pop']",2021-04-03 09:38:09+00:00,Primavera,Pop
Crowded House,7ohlPA8dRBtCf92zaZCaaB,"['australian rock', 'permanent wave']",2021-04-03 09:38:21+00:00,Primavera,Otros
The Red One Rocketman,4pnCFvqm27NL3msmn8Nnoc,['NA'],2021-04-03 09:38:43+00:00,Primavera,Otros
Elton John,3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock', 'rock']",2021-04-03 09:38:48+00:00,Primavera,Rock & Indie
Zaz,1mbgj8ERPs8lWi7t5cYrdy,"['chanson', 'french jazz', 'nouvelle chanson francaise']",2021-04-03 09:39:14+00:00,Primavera,Otros
Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,"['mellow gold', 'soft rock']",2021-04-03 09:39:54+00:00,Primavera,Otros
GABRIELLE,7rftfGIYEeZ79sLb58ZBDi,"['british soul', 'new wave pop']",2021-04-03 09:40:06+00:00,Primavera,Otros
Keane,53A0W3U0s8diEn9RhXQhVz,"['neo mellow', 'piano rock', 'pop rock']",2021-04-03 09:40:13+00:00,Primavera,Rock & Indie
Robbie Williams,2HcwFjNelS49kFbfvMxQYw,"['dance rock', 'europop']",2021-04-03 09:41:55+00:00,Primavera,Otros
Orishas,2gKYxTUOqw9aPt7ljMwSHT,"['conscious hip hop', 'cuban alternative', 'hip hop cubano', 'latin alternative', 'latin hip hop']",2021-04-03 09:42:48+00:00,Primavera,Pop
Elilluminari,0BHo5QBLAjH32hoe4xHGYq,['dembow dominicano'],2021-04-03 09:43:16+00:00,Primavera,Otros
The Script,3AQRLZ9PuTAozP28Skbq8V,"['celtic rock', 'pop']",2021-04-03 09:43:56+00:00,Primavera,Pop
